Movie Name,Year,Director,Link,Rating
The Shawshank Redemption,1994,Frank Darabont ,imdb.com/title/tt0111161/,9.2
The Godfather,1972,Francis Ford Coppola ,imdb.com/title/tt0068646/,9.1
The Godfather: Part II,1974,Francis Ford Coppola ,imdb.com/title/tt0071562/,9.0
The Dark Knight,2008,Christopher Nolan ,imdb.com/title/tt0468569/,9.0
12 Angry Men,1957,Sidney Lumet ,imdb.com/title/tt0050083/,8.9
Schindler's List,1993,Steven Spielberg ,imdb.com/title/tt0108052/,8.9
The Lord of the Rings: The Return of the King,2003,Peter Jackson ,imdb.com/title/tt0167260/,8.9
Pulp Fiction,1994,Quentin Tarantino ,imdb.com/title/tt0110912/,8.8
"Il buono, il brutto, il cattivo",1966,Sergio Leone ,imdb.com/title/tt0060196/,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson ,imdb.com/title/tt0120737/,8.8
Fight Club,1999,David Fincher ,imdb.com/title/tt0137523/,8.8
Forrest Gump,1994,Robert Zemeckis ,imdb.com/title/tt0109830/,8.8
Inception,2010,Christopher Nolan ,imdb.com/title/tt1375666/,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner ,imdb.com/title/tt0080684/,8.7
The Lord of the Rings: The Two Towers,2002,Peter Jackson ,imdb.com/title/tt0167261/,8.7
The Matrix,1999,Lana Wachowski ,imdb.com/title/tt0133093/,8.6
Goodfellas,1990,Martin Scorsese ,imdb.com/title/tt0099685/,8.6
One Flew Over the Cuckoo's Nest,1975,Milos Forman ,imdb.com/title/tt0073486/,8.6
Shichinin no samurai,1954,Akira Kurosawa ,imdb.com/title/tt0047478/,8.6
Se7en,1995,David Fincher ,imdb.com/title/tt0114369/,8.6
La vita è bella,1997,Roberto Benigni ,imdb.com/title/tt0118799/,8.6
Cidade de Deus,2002,Fernando Meirelles ,imdb.com/title/tt0317248/,8.6
The Silence of the Lambs,1991,Jonathan Demme ,imdb.com/title/tt0102926/,8.6
It's a Wonderful Life,1946,Frank Capra ,imdb.com/title/tt0038650/,8.6
Star Wars,1977,George Lucas ,imdb.com/title/tt0076759/,8.6
Saving Private Ryan,1998,Steven Spielberg ,imdb.com/title/tt0120815/,8.5
Gisaengchung,2019,Bong Joon Ho ,imdb.com/title/tt6751668/,8.5
Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki ,imdb.com/title/tt0245429/,8.5
The Green Mile,1999,Frank Darabont ,imdb.com/title/tt0120689/,8.5
Interstellar,2014,Christopher Nolan ,imdb.com/title/tt0816692/,8.5
Léon,1994,Luc Besson ,imdb.com/title/tt0110413/,8.5
The Usual Suspects,1995,Bryan Singer ,imdb.com/title/tt0114814/,8.5
Seppuku,1962,Masaki Kobayashi ,imdb.com/title/tt0056058/,8.5
The Lion King,1994,Roger Allers ,imdb.com/title/tt0110357/,8.5
The Pianist,2002,Roman Polanski ,imdb.com/title/tt0253474/,8.5
Back to the Future,1985,Robert Zemeckis ,imdb.com/title/tt0088763/,8.5
American History X,1998,Tony Kaye ,imdb.com/title/tt0120586/,8.5
Terminator 2: Judgment Day,1991,James Cameron ,imdb.com/title/tt0103064/,8.5
Modern Times,1936,Charles Chaplin ,imdb.com/title/tt0027977/,8.5
Psycho,1960,Alfred Hitchcock ,imdb.com/title/tt0054215/,8.5
Gladiator,2000,Ridley Scott ,imdb.com/title/tt0172495/,8.5
